,track_id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_sig,date_added
237,4lJ6YVXQ0jUk5ILu0PSrA4,Ooh La La,Faces,0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,214080,4,2016-06-09T18:23:58Z
238,3VyJGPYr2DF9gdBNosSao4,Can't Find My Way Home,Blind Faith,0.519,0.337,2,-15.215,1,0.0333,0.887,0.0113,0.13,0.523,87.926,196133,4,2016-06-09T18:24:08Z
239,3Xls4cNOwy01dtrNXb1inG,White Room,Cream,0.553,0.576,0,-13.458,1,0.0304,0.191,0.00664,0.0365,0.457,109.827,298333,4,2016-06-09T18:24:35Z
240,2y84zRlD8OD6wYpxUylgTV,Like A Rolling Stone - Live At Monterey,Jimi Hendrix,0.494,0.485,11,-10.464,1,0.048,0.12,0.000277,0.16,0.609,80.593,426613,4,2016-06-09T18:24:57Z
241,2ctvdKmETyOzPb2GiJJT53,Breathe (In the Air),Pink Floyd,0.431,0.373,11,-15.142,0,0.0346,0.389,0.728,0.143,0.253,128.153,169535,4,2016-06-09T18:25:24Z
242,34OzAaQeAWlFnZBSyUAtRh,Loving Cup,The Rolling Stones,0.471,0.843,7,-5.702,1,0.041,0.636,0.0402,0.773,0.632,156.695,264267,4,2016-06-09T18:26:03Z
243,6Pe17mnex6IT7C72p00xOj,Look Good In Leather,Cody Chesnutt,0.73,0.864,0,-4.866,1,0.0707,0.248,0.026,0.299,0.968,123.465,235920,4,2016-06-15T15:30:32Z
244,20VuO95A8RxUPlShnfYArW,I Got The... - 2006 Remaster,Labi Siffre,0.476,0.604,0,-10.85,0,0.117,0.11,4.15e-05,0.134,0.583,87.304,395373,4,2016-06-27T17:12:51Z
245,3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,218093,4,2016-07-11T19:22:54Z
246,1Q5kgpp4pmyGqPwNBzkSrw,Roadhouse Blues,The Doors,0.623,0.633,9,-8.212,1,0.0304,0.336,4.6e-05,0.147,0.895,121.119,243827,4,2016-07-14T17:47:51Z
